Event,Department,Rating,Comment
Tech Talk,CSE,5,"Loved the speaker and the topic!"
Workshop on AI,IT,4,"Very informative but a bit rushed."
Cultural Fest,Arts,3,"Fun event but lacked coordination."
Hackathon,ECE,2,"Too chaotic and poorly managed."
Seminar on Ethics,Humanities,5,"Thought-provoking and well-organized."
Tech Talk,CSE,4,"Good content but room was too small."
Workshop on AI,IT,3,"Average experience, expected more hands-on."
Cultural Fest,Arts,5,"Amazing performances and energy!"
Hackathon,ECE,1,"No proper guidance or structure."
Seminar on Ethics,Humanities,4,"Great discussion, could be longer."
